Mean,Min,Max,Variance,Std Dev,Skewness,Kurtosis
-0.0012640212231599876,-0.045454545454545525,0.056422569027611225,0.0001681572565127347,0.012967546279567877,0.7188505508921523,3.1637797637727596
0.0004930065999830239,-0.019685039370078705,0.03427419354838701,8.321140966842305e-05,0.009122028813176543,0.7974335202998893,1.592687692248874
0.0010249335148981662,-0.060109289617486406,0.06887052341597788,0.0003138451437855409,0.017715675086926293,-0.032154428256979346,2.1981646262918675
-0.004056611845051012,-0.06944444444444431,0.05180533751962324,0.00040373611293080856,0.02009318573374587,-0.8247391838733831,2.0254368488257635
0.0010409208702727415,-0.04477611940298509,0.06933333333333347,0.00020855188586647785,0.014441325627049542,1.0987964140509001,4.341686622728629
4.229752224961181e-05,-0.02298850574712641,0.04123711340206193,0.00010692331217824896,0.010340372922590798,0.39943711571875967,1.0750845727972136
0.0016531591474907886,-0.03814852492370291,0.06959999999999988,0.00044238799744640307,0.021033021595729014,0.8767925102374465,1.0671532663931487
0.00107239027973071,-0.06813417190775684,0.06968641114982588,0.0003681952906139943,0.019188415531616838,0.48070679482685225,2.500540502226804
0.0019207258590732655,-0.03398058252427183,0.06981981981981988,0.0002862694896869518,0.016919500278877973,1.4339783108053357,4.205280330233125
0.00025984397660604684,-0.024446494464944735,0.06788571428571433,0.00016830797430438633,0.012973356323804043,1.7628198451819164,6.281788161803886
-0.0004692735828613499,-0.04844290657439443,0.06642066420664205,0.000232062656339848,0.015233602867997052,0.8486995115242275,2.985041630249759
-0.0009301460668427767,-0.06925740669488256,0.06883009508061178,0.000368472829506359,0.019195646108072503,0.20424873231966956,1.663944498614824
0.0024099047169647723,-0.05960264900662249,0.0696378830083566,0.0003831726398112434,0.01957479603498446,0.30787568832344403,1.6461785429941322
0.001600531100693007,-0.028277634961439646,0.05524861878453047,0.00016101738500362277,0.012689262587070328,0.8497845028826835,2.3802524974453734
-0.0006748380564615907,-0.06320000000000003,0.06982461891493186,0.0003692823031312944,0.019216719364430923,0.47240148609812177,2.1717747752547085
7.320927492295847e-05,-0.04621848739495815,0.0691176470588235,0.00025252288015961607,0.015890968509175773,0.7134874443480217,2.813720552461352
0.0005399000214195919,-0.04504504504504503,0.053308823529411686,0.0002649316346556154,0.016276720635791945,0.11135843773879538,0.43345579099089004
-0.0006389673823347278,-0.03660322108345537,0.03862660944205998,0.00014364187089299427,0.011985068664508946,0.2059364268324551,0.5896520549678819
-0.0003166744302185765,-0.03190619034633224,0.047272727272727355,0.00012590001344589693,0.011220517521304306,0.27704886284679725,2.4930432093621153
-0.0010829741586612924,-0.034825870646766344,0.05128205128205132,0.00019883697417982652,0.014100956498756619,0.8572114456399907,2.3500138700423623
-0.0009171258854159336,-0.04235294117647048,0.06779661016949157,0.0003069577043802032,0.017520208457098996,0.8807447369633533,1.7969323269725557
0.00019716028809674824,-0.023383768913342595,0.0474137931034484,0.00013723096694855593,0.01171456217485553,0.8896484816027784,1.8216309769115675
0.0004956471654004072,-0.048872180451127845,0.06851011143210894,0.00034509311488960427,0.01857668202046868,0.9507762239635598,3.012333997890577
0.0008001459367520616,-0.06792675723567632,0.06994459833795008,0.00048708872725531635,0.022070086707018537,0.3086314250501297,1.2981156970227419
