Period,Model,Sharpe_EQ,Return_EQ,Sharpe_MC,Return_MC,Sharpe_MVO,Return_MVO
1,LSTM,1.6179475115869029,0.014571405215356782,2.079556991246013,0.021687113468715127,2.0803256122938305,0.021801966392025068
2,LSTM,1.839351797355522,0.015675123384617087,2.2156864172789232,0.02635587253655971,2.2165126638149446,0.026423323178715884
3,LSTM,1.656006053053559,0.01431592010835429,1.9014622113044177,0.020745824496428398,1.9056642601863267,0.02030700926036912
4,LSTM,1.6473545654720563,0.01577287392879673,2.144622387025532,0.026032807227409485,2.1452464135644473,0.026025967484848582
5,LSTM,1.3901254902469087,0.015213130059640558,2.1122686594055335,0.02541086604585828,2.1140293453652776,0.02582466970735513
6,LSTM,1.8723391571352386,0.016575160899922337,2.4085727907964523,0.028156315787992676,2.4118364184995826,0.02930415271690003
7,LSTM,1.3764381202572733,0.015064483059073621,2.167455375048828,0.02630046446678719,2.175369104282961,0.02684837409519247
8,LSTM,1.7810467550253932,0.015772644510723993,2.212345688882074,0.02564126727654769,2.2140690293822964,0.025738456790532997
9,LSTM,1.3354672965456498,0.014619533440549292,1.8419479821997935,0.020684624701013014,1.847830812547195,0.020887517716606605
10,LSTM,1.6281502132082373,0.014587095214880302,2.114626254059071,0.026830367786469113,2.126125354795697,0.025348773296567824
1,LR,6.711856996223258,0.05640448506261818,8.02093087792255,0.08403381490143712,8.043767427530543,0.08610294990225466
2,LR,6.917601141747928,0.058129938375916464,8.10080047576335,0.08243605588661236,8.118003013478422,0.08635845410741678
3,LR,5.984676053478808,0.050306052643916244,7.1342811275248,0.07838415377858476,7.138706659400627,0.07654064627870795
4,LR,5.418558886472999,0.049190468723975936,6.888478706345701,0.08163465589022044,6.902758442151927,0.08092176003461136
5,LR,5.4348252531165615,0.049337788503418085,6.90203945757752,0.08032123129432306,6.9041479739266975,0.08079635740349855
6,LR,5.456280208309034,0.049532099829121976,6.878976080689416,0.08064156418122888,6.891617497136349,0.08053281693390155
7,LR,5.480893601831388,0.049755016217550435,6.887729987269959,0.07961970588876412,6.90102659503119,0.08040150853465276
8,LR,5.796894408825529,0.04873124010129276,6.886352830446256,0.07597416400503293,6.891098476846839,0.07377014782091812
9,LR,5.860860525478386,0.04926768573203496,6.9460119473227495,0.07388578606319819,6.952268797993962,0.07417629159175806
10,LR,5.857212599546453,0.04923709275516133,7.040279598075596,0.07595608857236255,7.04212110510519,0.07650220283952153
1,SVR,1.264800171395881,0.012535072417419125,1.35337058791878,0.012782055304754993,1.355896662573596,0.012600847175050679
2,SVR,2.6380107546237808,0.03597686497927152,2.94309264316917,0.047862109887040594,2.947186133838966,0.04744722064889518
3,SVR,3.0360626127826134,0.03852220929535441,4.131852494084257,0.056242225054807624,4.148936804006091,0.05562717043174227
4,SVR,1.5612090586182334,0.016033003655296363,2.2654640800155805,0.019499695118756478,2.266003065205794,0.01954195478991299
5,SVR,0.2914979439082888,0.002367529613864771,0.575820491695411,0.001436640429711274,0.6272427369482539,0.0016745679252711538
6,SVR,1.467088901624239,0.009612681135878591,4.102085949381491,0.02349476373643248,4.1327417960763535,0.0241136037029682
7,SVR,1.7759729499082408,0.01732165886673665,2.0242269695188146,0.016096916119442965,2.0302976579392937,0.016349039315905384
8,SVR,0.4427256564371232,0.0040453948914927354,0.6055755745906408,0.006456141026417781,0.6111129770218909,0.006605658250706368
9,SVR,0.5986944792756217,0.004994888130904463,0.6990496736809009,0.007710778281451414,0.7027943955914296,0.007632458096131564
10,SVR,0.8249808579948869,0.00812451503948144,1.4105952364014858,0.024111831194342525,1.4210076557732705,0.02245084224155812
